Timestamp,UTC Nanoseconds,MainObject,Camera.x,Camera.y,Camera.z,Frwd.x,Frwd.y,Frwd.z,Rot.x,Rot.y,Rot.z,Gaze.x,Gaze.y,Gaze.z,Gazedir.x,Gazedir.y,Gazedir.z,KeyPress,TargetName,TargetPosition.x,TargetPosition.y,TargetPosition.z
2024-07-08T15:13:57.7531812-07:00,1720476837753181200,Null,-0.01652247,0.01178074,0.004028,0.0483683,0.0963787,0.9941688,-0.04824883,0.02424123,0.0004500399,-0.01657325,0.01136735,0.01273313,0.09522331,-0.0939635,0.9910113,1,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:57.8011813-07:00,1720476837801181300,Null,-0.01664481,0.01169002,0.004163787,0.04759187,0.09875034,0.9939736,-0.0494397,0.02385266,0.0004198421,-0.01643948,0.01136065,0.01274661,0.09509604,-0.09389566,0.9910299,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:57.8538907-07:00,1720476837853890700,Null,-0.01659361,0.01170447,0.004343122,0.04440761,0.09890791,0.9941052,-0.04954603,0.02219415,-0.0008556595,-0.01631737,0.01135464,0.01276718,0.09480815,-0.09382509,0.9910642,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:57.9032536-07:00,1720476837903253600,Null,-0.01637346,0.01142874,0.004502736,0.04555055,0.0981089,0.9941327,-0.04914324,0.02277279,-0.0007309505,-0.01619696,0.01133748,0.01279309,0.09474506,-0.09377254,0.9910752,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:57.9568812-07:00,1720476837956881200,Null,-0.01614244,0.01148809,0.004628353,0.04994619,0.09716499,0.9940143,-0.04865752,0.02500635,-8.623691E-05,-0.01605378,0.01132332,0.01282149,0.09487795,-0.09374511,0.9910651,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.0133804-07:00,1720476838013380400,Null,-0.01643154,0.01138834,0.004474282,0.05001365,0.09529411,0.9941919,-0.04773284,0.02501183,-0.000656516,-0.01593639,0.01130498,0.01284302,0.09488178,-0.09378018,0.9910614,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.0578813-07:00,1720476838057881300,Null,-0.01640929,0.01151469,0.004494488,0.04631824,0.09551504,0.9943498,-0.04783985,0.0231615,-0.0006347983,-0.01589828,0.01130589,0.01286261,0.09252679,-0.09218466,0.9914337,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.1053227-07:00,1720476838105322700,Null,-0.01643266,0.01123292,0.004548907,0.04517964,0.09568422,0.9943859,-0.0479177,0.02260399,-0.0003667724,-0.01584673,0.01129631,0.01288163,0.09024721,-0.0905663,0.9917929,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.1558234-07:00,1720476838155823400,Null,-0.0162941,0.01138794,0.004449174,0.04570156,0.09654612,0.9942787,-0.04834202,0.02288401,9.878593E-06,-0.01578234,0.01129205,0.01289971,0.08817213,-0.08902206,0.9921193,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.2053229-07:00,1720476838205322900,Null,-0.01629823,0.01138305,0.00439436,0.04675148,0.09658816,0.9942259,-0.04837064,0.02339571,-0.0002859449,-0.0156647,0.0112872,0.01291494,0.08623751,-0.08754829,0.9924205,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.2520089-07:00,1720476838252008900,Null,-0.01636875,0.01159685,0.004373267,0.04759615,0.09798318,0.9940493,-0.04906804,0.02382656,-0.0001424427,-0.01543788,0.01129206,0.01292524,0.08421095,-0.0861707,0.992715,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.3066184-07:00,1720476838306618400,Null,-0.01640598,0.01132895,0.004358426,0.04608482,0.09792417,0.9941263,-0.04903348,0.02307772,2.842797E-05,-0.01514389,0.01128612,0.01293227,0.08196707,-0.08493727,0.9930091,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.3581183-07:00,1720476838358118300,Null,-0.01637765,0.01149698,0.004466742,0.04532719,0.09931975,0.9940227,-0.04975889,0.02264347,-0.001085305,-0.006510681,0.01130758,0.01317462,0.02584515,-0.05518835,0.9981414,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.4076174-07:00,1720476838407617400,Null,-0.01638905,0.01139045,0.004541941,0.04685957,0.09825447,0.9940575,-0.04920601,0.02345287,-0.0002395419,-0.006526147,0.01130291,0.01317792,0.02591245,-0.05529124,0.998134,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.4546930-07:00,1720476838454693000,Null,-0.01655867,0.01134228,0.004437543,0.0471273,0.0970957,0.9941587,-0.04861795,0.02360009,4.01348E-05,-0.006546448,0.01129581,0.01317722,0.02595575,-0.05540902,0.9981263,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.5072220-07:00,1720476838507222000,Null,-0.01666521,0.01124864,0.004343323,0.04549969,0.09714575,0.9942296,-0.04864518,0.0227783,-9.111215E-05,-0.006568299,0.01128506,0.01317354,0.02594838,-0.05555012,0.9981187,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.5568272-07:00,1720476838556827200,Null,-0.01668042,0.01138703,0.004431412,0.04518424,0.0975688,0.9942026,-0.04885537,0.02262468,-5.185967E-06,-0.006641386,0.01128006,0.0131753,0.02598101,-0.05567501,0.9981109,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.6068426-07:00,1720476838606842600,Null,-0.01672308,0.01133148,0.004340008,0.04514519,0.09728319,0.9942323,-0.04870266,0.02262509,0.0004073945,-0.006790093,0.01127255,0.01317554,0.02606686,-0.05576644,0.9981035,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.6572780-07:00,1720476838657278000,Null,-0.01675302,0.0113902,0.004281074,0.04528309,0.09881921,0.9940745,-0.04947398,0.02269474,0.0003951461,-0.006933598,0.01126821,0.01317361,0.02613458,-0.05577174,0.9981014,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.7083439-07:00,1720476838708343900,Null,-0.01681966,0.01128669,0.004273452,0.04604393,0.09930593,0.9939911,-0.04972336,0.02306602,0.0001885962,-0.007090075,0.01125979,0.0131717,0.02628896,-0.0558183,0.9980947,None,t_1_1_3 (1),0.07071067,-0.08158865,2.12
2024-07-08T15:13:58.7683423-07:00,1720476838768342300,Null,-0.01690613,0.01144212,0.00420592,0.04628826,0.09980069,0.9939302,-0.04995748,0.02321973,0.0008072062,-0.007252352,0.01126141,0.01317049,0.02644688,-0.055901,0.998086,1,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:58.8158423-07:00,1720476838815842300,Null,-0.01681699,0.01169523,0.004467398,0.04689943,0.1026345,0.9936129,-0.05137053,0.02355035,0.001226096,-0.007416638,0.01126945,0.01317433,0.02658863,-0.05592854,0.9980806,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:58.8723561-07:00,1720476838872356100,Null,-0.01702455,0.01150701,0.004459977,0.04425155,0.1006696,0.9939353,-0.05041708,0.02214625,-0.0002603193,-0.00755455,0.01126965,0.01317979,0.02656231,-0.05610266,0.9980716,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:58.9225364-07:00,1720476838922536400,Null,-0.01705702,0.01129546,0.00461641,0.0434491,0.09951202,0.9940873,-0.04982034,0.02177819,0.0004299509,-0.007683538,0.01126116,0.01319097,0.0266005,-0.05632061,0.9980583,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:58.9754288-07:00,1720476838975428800,Null,-0.01689723,0.0114024,0.004661456,0.04564031,0.09851804,0.9940881,-0.04930298,0.02291645,0.001265266,-0.007815192,0.011255,0.01320326,0.02677549,-0.05651964,0.9980424,None,t_3_2_3 (1),0,-0.3022993,2.12
